date,symbol,cmp,high,low,% change,atr,dc50 high,dc50 low,cci(20),rsi 7,volume,vol - times,"st 10,2","st 10,1",yestclose,prev st 10-2,prev st 10-1,open,gap 52 w h,gap 52 w l,52 week high,52 week low
25th Aug,MARICO,722.40,734.30,720.40,-1.14,17.63,759,680.30,63.67,48.98,1747160,1.11,713.17,744.51,730.70,713.17,730.70,732.75,4.82,0.028,759,577.85
25th Aug,UPL,722.80,741,713.50,0.886,19.19,741,626.35,104.20,68.49,4678348,2.86,725.44,708.03,716.45,725.44,697.13,717.20,2.46,0.045,741,493
25th Aug,HINDALCO,715.85,720.90,707.55,1.65,14.28,720.90,635.05,150.21,66.47,4539337,0.807,685.60,699.91,704.20,678.04,694.20,708,7.35,0.033,772.65,546.45
25th Aug,TATATECH,685.15,693.85,684,0.227,11.64,755,652.50,23.47,56.81,583229,2.00,664.80,677.01,683.60,664.14,677.01,690,39.69,0.019,1147.75,597
25th Aug,TATAMOTORS,686.80,688.90,680.30,0.956,14.65,714,627.10,72.04,60.58,6429068,1.000,661.82,678.36,680.30,661.82,678.36,683.75,37.85,0.032,1179,535.75
25th Aug,CGPOWER,677.20,685.50,675,-0.390,12.32,698.10,645.50,91.84,57.01,2087411,0.559,689.49,667.18,679.85,689.49,667.14,682,22.58,0.035,874.70,517.70
25th Aug,INDIANB,668.05,673.40,664.30,-0.328,11.30,683.10,606,58.88,59.41,314517,0.390,647.15,661.35,670.25,647.15,661.35,670.25,2.20,0.044,683.10,473.90
25th Aug,SYNGENE,667.70,673,663.45,0.045,15.41,728.60,620.70,-41.45,47.94,260689,1.32,638.31,656.45,667.40,638.31,656.45,667.35,30.49,0.015,960.60,599.55
25th Aug,ICICIPRULI,629.65,630.75,623.35,0.575,12.37,693.50,597,62.04,56.91,950403,2.43,614.71,638.72,626.05,614.71,638.72,626.05,20.98,0.026,796.80,525.80
25th Aug,ATGL,631.25,633.20,618.15,2.19,14.42,693.90,577.10,83.79,63.79,721953,2.45,600.17,615.11,617.75,600.17,615.11,620,26.77,0.025,1190,532.60
25th Aug,JUBLFOOD,647.80,650.75,616.50,4.63,18.34,718.95,616.50,-5.59,60.88,5226837,5.85,655.97,616.01,619.15,655.97,640.21,619.95,18.69,0.022,796.75,558.25
25th Aug,SHRIRAMFIN,620.85,623.80,616.40,0.812,12.63,714,601.70,-31.44,48.67,6850166,1.96,645.56,631.34,615.85,645.56,631.34,620,15.00,0.033,730.45,493.35
25th Aug,AMBUJACEM,581,582,577.85,0.667,11.70,624.95,528.45,-97.81,40.14,1458375,0.873,604.20,592.06,577.15,605.16,595.95,581,9.68,0.038,706.95,453.05
25th Aug,PGEL,584,588.70,566.20,3.60,38.78,836.45,465,-40.29,48.42,5783900,0.905,498.52,537.99,563.70,581.10,528.23,570,44.60,0.036,1054.20,465
25th Aug,LICHSGFIN,561.10,566.90,560.05,-0.426,10.56,646.50,560.05,-142.30,30.12,845609,0.475,585.50,574.49,563.50,589.50,578.02,564.60,23.72,0.025,826.75,483.70
25th Aug,CONCOR,544.40,550.55,543,-0.639,11.07,629.20,529.20,-61.27,37.39,588258,1.09,562.14,544.34,547.90,562.14,544.34,547.95,30.53,0.021,944,481
25th Aug,JSWENERGY,521.45,525.80,515.80,0.685,11.50,548.40,479,-74.51,41.03,3246470,1.55,512.06,530.22,517.90,512.06,530.22,518.90,35.22,0.038,804.90,418.75
25th Aug,DABUR,518.60,520.45,513.45,0.514,11.68,547.70,463.10,-8,51.84,1204754,0.755,505.30,528.43,515.95,505.30,529.18,515.90,22.83,0.032,672,433.30
25th Aug,VBL,516,518.85,512.85,-0.116,12.46,534.20,446.15,66.04,61.53,2932292,0.537,522.96,505.98,516.60,522.96,505.98,516.60,22.75,0.036,681.12,419.55
25th Aug,KALYANKJIL,511.15,515,509.60,0,17.01,617.70,502.35,-80.21,29.80,3732096,1.02,548.44,530.37,511.15,550.93,531.45,512,35.74,0.043,795.40,399.40
25th Aug,DELHIVERY,476.85,480.70,470.60,0.686,10.62,480.70,342.85,86.85,75.81,2179140,1.19,453.51,464.58,473.60,450.45,462.16,473.60,0.801,0.107,480.70,236.53
