date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,POLICYBZR,1911.20,-66.67,10.69,77.19,161.05,121.26,118.40,102.44,117.89,1808.01
22nd Aug,ICICIGI,1910.70,-66.67,-94.61,9.22,-1.39,-27.10,18.30,50.00,60.60,1897.72
22nd Aug,BIRLANU,1907,-66.67,-131.51,-169.54,-91.67,-172.71,-120.88,-59.91,-56.51,2038.98
22nd Aug,UBL,1875.10,-66.67,-119.40,-205.93,-124.10,-148.24,-135.57,-119.82,-132.75,1955.40
22nd Aug,TEGA,1874.50,66.67,83.58,101.62,-0.766,64.87,92.77,115.59,134.21,1948.85
22nd Aug,CHOLAHLDNG,1862.60,-66.67,-26.62,-14.63,-51.50,-78.61,-55.36,-3.51,26.93,1798.98
22nd Aug,BHARTIHEXA,1859.60,66.67,117.95,188.53,99.40,31.09,65.02,70.80,77.80,1704.25
22nd Aug,ONESOURCE,1859.60,66.67,89.35,-37.18,-88.85,-124.16,-4.63,24.66,NaN,1939.42
22nd Aug,SBILIFE,1859,-66.67,-19.98,31.78,88.72,101.46,101.46,76.86,83.34,1812.88
22nd Aug,INDOTECH,1855,-66.67,-123.69,23.75,37.84,-30.39,-63.77,-80.93,-84.88,1755.00
22nd Aug,TEAMLEASE,1854.90,66.67,79.71,109.54,-10.88,-69.30,-81.29,-70.63,-74.61,1741.82
22nd Aug,EPIGRAL,1845.30,-66.67,-47.99,5.36,15.10,61.22,47.89,47.13,52.79,1983.46
22nd Aug,BBTC,1825.80,-66.67,-133.33,-137.05,-99.93,-138.90,-109.59,-40.23,-55.12,1923.29
22nd Aug,ACC,1821.10,-66.67,-133.33,31.23,-35.58,-59.81,-73.33,-79.36,-87.78,1795.52
22nd Aug,NH,1813.70,-66.67,-133.33,30.63,-59.78,-60.94,-30.04,10.09,39.75,1862.25
22nd Aug,DEEPAKNTR,1805.20,-66.67,-74.96,-78.05,-82.16,-125.19,-150.62,-154.32,-120.23,1881.12
22nd Aug,PATANJALI,1801.20,-66.67,17.63,50.51,-34.29,41.16,18.88,21.60,15.44,1874.18
22nd Aug,ABREL,1797.20,-66.67,-106.77,-74.59,-88.52,-120.07,-109.08,-93.87,-104.27,1901.31
22nd Aug,ERIS,1769.90,66.67,84.88,97.63,10.69,48.80,71.68,82.78,96.52,1812.89
22nd Aug,AUTOAXLES,1769.20,66.67,133.33,116.09,-21.42,-44.70,-0.198,29.56,32.69,1651.62
22nd Aug,CONCORDBIO,1767.60,66.67,75.15,158.46,-2.11,-41.18,12.81,25.34,-5.99,1635.46
22nd Aug,GKWLIMITED,1766,-66.67,-21.68,71.48,15.27,-42.00,-62.26,-17.37,-32.13,1615.10
22nd Aug,JBCHEPHARM,1754.40,66.67,133.33,160.72,90.56,76.29,93.95,102.01,87.10,1678.40
22nd Aug,COFORGE,1747.70,66.67,99.58,165.62,0.635,-38.45,15.40,40.02,44.18,1638.15
22nd Aug,JCHAC,1739.90,-66.67,-133.33,17.53,-18.87,-27.42,-27.32,-17.08,9.51,1777.57
22nd Aug,GRAVITA,1734.90,-66.67,-110.91,-93.18,-74.08,-76.04,-93.28,-55.06,-61.06,1826.64
22nd Aug,MAPMYINDIA,1729.60,-66.67,-99.66,-197.64,-175.48,-97.76,-90.31,-44.33,-24.60,1804.81
22nd Aug,V2RETAIL,1720.80,-66.67,-67.18,-61.90,-80.05,-139.03,-95.86,-53.08,-49.35,1833.88
22nd Aug,COCHINSHIP,1705.50,-66.67,-96.86,43.78,-60.81,-95.03,-48.52,-6.61,10.61,1780.50
22nd Aug,YASHO,1703.10,-66.67,-112.42,-183.51,-110.64,-175.08,-100.16,-80.77,-89.15,1817.04
22nd Aug,VINATIORGA,1684,-66.67,-87.67,-1.46,-82.84,-144.77,-83.30,-34.58,-29.32,1628.33
22nd Aug,SUNCLAY,1665.30,-66.67,-129.06,-106.72,-105.44,-155.09,-179.59,-205.01,-194.76,1806.14
22nd Aug,OBEROIRLTY,1657.40,-66.67,-10.70,70.34,-30.77,-81.99,-54.65,-26.54,-31.47,1677.53
22nd Aug,HIRECT,1653,-66.67,-80.41,-162.79,2.51,53.00,100.31,115.58,135.40,1922.68
22nd Aug,AAVAS,1650,-66.67,-85.80,-119.86,-89.98,-141.18,-141.12,-134.12,-106.89,1755.48
22nd Aug,APLAPOLLO,1649.50,66.67,68.76,121.91,33.60,-48.40,-44.98,-1.39,18.93,1572.38
22nd Aug,STYLAMIND,1643.80,-66.67,-70.78,-119.86,-106.51,-71.49,-69.50,-55.02,-62.82,1736.74
22nd Aug,CIGNITITEC,1643.30,66.67,99.23,161.04,-0.936,-32.50,22.71,46.38,55.57,1529.73
22nd Aug,SUNPHARMA,1641.80,66.67,87.30,92.39,-35.52,-70.00,-84.82,-76.33,-84.03,1655.95
22nd Aug,VEEDOL,1639.30,-66.67,-43.95,39.83,-79.96,-107.73,2.16,33.85,44.30,1676.91
22nd Aug,MFSL,1638,-66.67,4.41,67.90,142.19,125.28,100.54,93.03,103.51,1587.81
22nd Aug,PRESTIGE,1635.60,-66.67,12.25,52.68,-37.55,-32.50,37.22,58.49,73.45,1693.54
22nd Aug,CARERATING,1623.30,66.67,52.25,-52.94,-88.03,-147.04,-13.11,22.54,36.29,1694.66
22nd Aug,NILKAMAL,1610,66.67,133.33,69.55,-61.51,-120.01,-98.58,-57.54,-66.49,1669.72
22nd Aug,AZAD,1606,-66.67,1.15,76.11,79.13,-4.51,-19.40,27.52,36.29,1518.99
