date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
25th Aug,CHEMFAB,686.10,-66.67,-38.33,27.90,-63.48,-116.90,-135.10,-141.40,-120.27,739.96
25th Aug,ACI,685.20,66.67,-62.06,18.02,34.48,79.80,114.25,107.16,105.68,638.80
25th Aug,TATATECH,685.15,66.67,21.54,79.66,-25.48,-71.02,-57.89,-25.50,-44.48,664.80
25th Aug,RAMRAT,682,-66.67,-130.29,-53.50,-39.15,-2.95,46.22,60.41,75.14,741.03
25th Aug,GMBREW,677.95,-66.67,-80.09,-46.85,-71.38,-116.19,-90.47,-28.31,-33.86,707.22
25th Aug,CGPOWER,677.20,-66.67,42.60,87.04,69.97,30.61,38.60,56.00,67.13,689.49
25th Aug,STOVEKRAFT,676.40,66.67,127.02,81.63,201.38,304.13,215.09,49.35,7.57,616.54
25th Aug,HCG,675,66.67,-11.51,69.05,115.88,172.73,210.63,227.86,239.71,633.67
25th Aug,DIVGIITTS,674.95,66.67,111.62,115.98,171.95,171.39,119.06,121.11,131.07,630.43
25th Aug,GLOSTERLTD,673.60,66.67,61.13,-17.25,17.47,-45.87,14.95,38.20,40.59,637.40
25th Aug,PARAS,672.45,-66.67,-105.15,34.12,-37.89,-90.11,-57.08,-1.51,16.47,702.90
25th Aug,ROSSTECH,672.10,-66.67,-80.55,44.06,128.05,135.99,162.94,186.38,213.26,597.27
25th Aug,NAVA,672.05,66.67,62.54,128.85,280.56,200.34,137.72,150.69,161.43,620.36
25th Aug,KRYSTAL,670,66.67,133.33,326.28,67.83,102.63,77.60,74.59,80.37,598.81
25th Aug,INDIANB,668.05,-66.67,-133.33,-75.57,89.22,149.07,124.96,109.91,118.66,647.15
25th Aug,SYNGENE,667.70,-66.67,-84.44,32.73,-29.45,32.39,38.56,4.60,-24.49,638.31
25th Aug,MAHSEAMLES,665.30,-66.67,-75.56,-69.19,-82.90,-89.76,-80.50,-54.72,-15.16,700.56
25th Aug,SUPRIYA,662.25,-66.67,-94.28,33.33,-18.87,-51.97,-47.83,-29.68,-31.47,648.04
25th Aug,CHENNPETRO,660.90,66.67,-56.39,52.60,-47.00,-44.37,-20.33,19.07,41.56,681.68
25th Aug,TTKPRESTIG,658,66.67,98.17,72.22,194.28,236.04,127.39,137.99,22.99,633.53
25th Aug,RUSTOMJEE,657.70,66.67,69.69,81.37,96.88,84.39,104.05,130.95,130.60,604.80
25th Aug,JKIL,652,-66.67,-96.74,-215.32,-136.22,-217.25,-148.78,-115.07,-126.24,687.17
25th Aug,BLACKBUCK,650.30,66.67,88.36,137.38,170.80,277.59,362.10,406.98,413.72,568.94
