date,symbol,ltp,cci 2,cci 4,cci 10,cci 30,cci 60,cci 90,cci 120,cci 150,st 10-2
22nd Aug,ATHERENERG,417.25,66.67,-25.80,34.57,91.59,165.89,NaN,NaN,NaN,389.84
22nd Aug,KOLTEPATIL,417.15,66.67,122.68,184.24,-39.81,-84.00,2.80,32.68,50.34,433.80
22nd Aug,VTL,414.75,-66.67,-116.10,38.18,-56.24,-111.75,-151.76,-71.40,-73.76,396.19
22nd Aug,MAMATA,414.25,-66.67,-76.44,-41.68,-109.03,-68.56,-14.83,12.51,9.55,456.13
22nd Aug,ARIHANTSUP,413.05,-66.67,-15.15,-76.90,-84.57,33.07,57.92,65.52,13.05,406.01
22nd Aug,ZODIAC,412.50,66.67,133.33,-43.50,-130.47,-175.24,-78.21,-56.94,-58.00,432.36
22nd Aug,HARSHA,411,-66.67,-109.57,-36.09,-34.75,26.03,55.19,71.13,67.27,398.40
22nd Aug,QUADFUTURE,410.65,66.67,78.73,171.98,-42.48,-94.38,-129.87,-134.85,-131.35,412.20
22nd Aug,OIL,409.40,-66.67,58.21,-24.23,-114.25,-135.15,-74.53,-12.60,-15.25,425.15
22nd Aug,KRISHIVAL,409,66.67,106.60,160.50,135.06,NaN,NaN,NaN,NaN,374.93
22nd Aug,PANACEABIO,408,66.67,-32.99,-42.10,-67.73,-74.77,-75.01,-58.99,-31.68,436.83
22nd Aug,PRAJIND,407.60,-66.67,-129.64,-47.50,-114.90,-187.34,-216.85,-229.38,-149.27,434.71
22nd Aug,EIHOTEL,406.20,66.67,104.05,98.07,212.68,228.69,258.95,234.50,197.52,381.57
22nd Aug,SOTL,406.10,-66.67,-13.28,-61.48,-32.22,-67.26,2.02,25.38,-13.26,398.73
22nd Aug,CSBBANK,405,-66.67,41.85,13.03,-59.97,9.38,50.14,70.80,83.95,373.17
22nd Aug,APOLLOPIPE,404.95,-66.67,17.34,88.82,-24.36,-80.67,-44.18,-1.03,1.00,381.40
22nd Aug,MANINDS,404.25,-66.67,-16.32,-11.66,-86.74,-22.26,40.77,59.46,74.94,437.71
22nd Aug,ZAGGLE,402.75,66.67,-47.26,54.61,24.63,-38.58,3.51,28.54,9.68,372.87
22nd Aug,EIHAHOTELS,402.05,-66.67,34.97,102.00,150.22,177.89,167.55,130.55,127.28,382.14
22nd Aug,GUJTHEM,399.90,66.67,84.88,153.84,198.03,191.39,157.62,146.07,NaN,358.09
22nd Aug,PFC,399.85,-66.67,-100.23,-133.97,-166.71,-150.06,-136.35,-87.69,-59.23,416.35
22nd Aug,SIGMA,398.90,66.67,133.33,109.54,131.92,161.84,82.32,84.09,101.72,403.81
22nd Aug,ITC,398.30,-66.67,-133.33,-140.70,-189.99,-273.59,-191.34,-144.23,-123.48,412.19
22nd Aug,CIEINDIA,398,-66.67,-121.76,11.80,-65.27,-105.53,-101.88,-63.46,-74.33,411.41
22nd Aug,GOCLCORP,397.25,66.67,75.01,132.40,78.46,92.59,90.90,105.74,112.74,359.44
22nd Aug,EXIDEIND,396.05,-66.67,39.68,99.15,150.50,140.22,142.75,111.30,118.78,380.79
22nd Aug,AFFORDABLE,395.05,-66.67,-90.86,24.40,-53.26,-91.52,-58.59,-57.46,-67.22,421.84
22nd Aug,SOFTTECH,394,66.67,97.55,155.80,94.41,80.46,94.56,108.68,63.76,398.75
22nd Aug,APCOTEXIND,393.70,-66.67,-97.85,-146.61,-80.03,-11.50,45.83,63.40,78.84,421.91
22nd Aug,MIDHANI,391.25,-66.67,-91.36,-14.50,-67.89,-108.63,-1.72,31.62,45.25,415.13
22nd Aug,HINDPETRO,390.75,-66.67,-133.33,-73.25,-110.97,-99.91,-82.63,-5.63,17.01,411.53
22nd Aug,SUNTECK,389.50,-66.67,20.76,94.39,-40.34,-91.86,-77.84,-50.30,-60.84,400.97
22nd Aug,DYNPRO,388.75,66.67,77.30,101.81,200.05,141.80,175.63,211.90,197.27,341.83
22nd Aug,KALPATARU,386.20,-66.67,-88.39,-63.93,-51.28,NaN,NaN,NaN,NaN,373.63
22nd Aug,TATAPOWER,385.60,-66.67,-127.10,0.830,-66.50,-104.98,-79.14,-3.83,20.13,397.93
22nd Aug,EPACK,385.15,66.67,21.73,20.39,58.35,97.38,73.67,83.24,12.32,403.73
22nd Aug,BESTAGRO,385,-66.67,-78.19,-44.10,-88.12,-7.69,16.85,47.66,13.99,431.70
22nd Aug,BAJAJINDEF,383.85,66.67,132.98,-10.22,-103.62,-59.05,14.41,33.30,NaN,397.94
22nd Aug,FIRSTCRY,383.80,-66.67,29.11,98.81,109.49,72.19,92.86,88.96,12.06,361.54
22nd Aug,DALMIASUG,382.65,66.67,77.13,165.99,24.35,-43.76,-57.60,-13.75,3.30,360.62
22nd Aug,AARTIIND,382.30,-66.67,-86.64,26.14,-70.34,-125.89,-151.02,-94.72,-107.91,398.17
22nd Aug,SGFIN,382.15,-66.67,-123.44,-165.76,NaN,NaN,NaN,NaN,NaN,404.00
22nd Aug,GICRE,380.80,-66.67,-133.33,-183.40,-43.44,-44.38,-66.55,-67.13,-69.21,374.47
22nd Aug,PCBL,380.20,-66.67,-108.97,-13.51,-76.65,-106.11,-73.38,-65.28,-47.06,393.62
22nd Aug,SENCO,378.95,-66.67,57.88,76.19,133.40,138.43,124.14,108.22,36.68,350.24
